duplicate_group,duplicate_count,product_id,name,normalized_name,calculation_status,calculation_due_month,created_at,updated_at
berlin lekcia zoja,1,39,Berlin Lekcia Zoja,berlin lekcia zoja,in_progress,,2025-12-02T16:42:39.40469+00:00,
cash demo sailing retreat,1,25,Cash Demo — Sailing Retreat,cash demo sailing retreat,in_progress,,2025-11-26T12:15:59.235248+00:00,
cash demo surf camp,1,24,Cash Demo — Surf Camp,cash demo surf camp,calculated,,2025-11-26T12:15:58.456078+00:00,
cash demo workshop,1,26,Cash Demo — Workshop,cash demo workshop,in_progress,,2025-11-26T12:15:59.852023+00:00,
chajwarshawa,1,36,ChajWarshawa,chajwarshawa,in_progress,,2025-12-02T16:42:39.40469+00:00,
coliving portugal,1,1,Coliving Portugal,coliving portugal,in_progress,,2025-11-07T15:34:08.292649+00:00,
comoon donation,1,30,COMOON Donation,comoon donation,in_progress,,2025-12-02T16:42:39.40469+00:00,
comoon ny 2026,1,28,COMOON NY 2026,comoon ny 2026,in_progress,,2025-12-02T16:42:39.40469+00:00,
comoon sup,1,31,COMOON SUP,comoon sup,in_progress,,2025-12-02T16:42:39.40469+00:00,
guide marketing value,1,29,Guide marketing value,guide marketing value,in_progress,,2025-12-02T16:42:39.40469+00:00,
halloweenparty2025,1,38,HalloweenParty2025,halloweenparty2025,in_progress,,2025-12-02T16:42:39.40469+00:00,
madeira,1,41,Madeira,madeira,in_progress,,2025-12-02T16:42:39.40469+00:00,
madeira march 26,1,13,Madeira march 26,madeira march 26,in_progress,2026-04,2025-11-07T17:07:22.213844+00:00,
morningrave2,1,27,MorningRave2,morningrave2,in_progress,,2025-12-02T16:42:39.40469+00:00,
ny2026,1,2,NY2026,ny2026,in_progress,2026-01,2025-11-07T15:34:08.292649+00:00,
picnic31.08,1,32,Picnic31.08,picnic31.08,in_progress,,2025-12-02T16:42:39.40469+00:00,
picnik,1,34,Picnik,picnik,in_progress,,2025-12-02T16:42:39.40469+00:00,
single lankowa,1,23,Single Lankowa,single lankowa,in_progress,,2025-11-24T19:24:42.544454+00:00,
single spain,1,22,Single Spain,single spain,in_progress,,2025-11-21T18:12:43.684076+00:00,
ski france,1,21,Ski France,ski france,in_progress,,2025-11-19T18:37:39.447444+00:00,
ski france 24.01.2026,1,4,SKI FRANCE 24.01.2026,ski france 24.01.2026,in_progress,2026-02,2025-11-07T15:34:08.292649+00:00,
ski poland 01,1,20,SKI Poland 01,ski poland 01,in_progress,,2025-11-19T18:18:15.135584+00:00,
ski poland 02,1,15,SKI Poland 02,ski poland 02,in_progress,2026-01,2025-11-07T17:07:29.488086+00:00,
sporthause/ singl,1,6,Sporthause/ singl,sporthause/ singl,in_progress,2025-11,2025-11-07T15:34:08.292649+00:00,
sreda10.09,1,33,Sreda10.09,sreda10.09,in_progress,,2025-12-02T16:42:39.40469+00:00,
sreda12.11,1,40,Sreda12.11,sreda12.11,in_progress,,2025-12-02T16:42:39.40469+00:00,
sreda8.10,1,37,Sreda8.10,sreda8.10,in_progress,,2025-12-02T16:42:39.40469+00:00,
warsaw weekend,1,14,Warsaw weekend,warsaw weekend,in_progress,2026-01,2025-11-07T17:07:26.915198+00:00,
weekend stodola 09.10.25,1,7,Weekend stodola 09.10.25,weekend stodola 09.10.25,calculated,2025-10,2025-11-07T15:34:08.292649+00:00,
yogachai,1,35,YogaChai,yogachai,in_progress,,2025-12-02T16:42:39.40469+00:00,
