"Название кампании",Валюта,"Сумма затрат (PLN)","Дата начала отчетности","Дата окончания отчетности"
,PLN,65572.98,2025-01-01,2025-12-31
spain-march,PLN,5336.88,2025-01-01,2025-12-31
"France 2",PLN,5145.32,2025-01-01,2025-12-31
"poland lankova09",PLN,4243.41,2025-01-01,2025-12-31
poland-maj11-17,PLN,4200.04,2025-01-01,2025-12-31
"Camp / Spain singles",PLN,4039.36,2025-01-01,2025-12-31
coliving-december,PLN,3686.72,2025-01-01,2025-12-31
"Camp  / NY2026",PLN,3189.86,2025-01-01,2025-12-31
"Camp / Singles camp december",PLN,2886.56,2025-01-01,2025-12-31
norway07,PLN,2877.17,2025-01-01,2025-12-31
norway06,PLN,2772.92,2025-01-01,2025-12-31
"Camp / All Camps retarget",PLN,2676.08,2025-01-01,2025-12-31
"portugal surf",PLN,2460.01,2025-01-01,2025-12-31
lankova-maj-pl,PLN,2228.84,2025-01-01,2025-12-31
poland-maj,PLN,2022.54,2025-01-01,2025-12-31
"spain castle",PLN,1774.3,2025-01-01,2025-12-31
"Camp / Madeira",PLN,1615.86,2025-01-01,2025-12-31
"Coliving / Bali",PLN,1609.8,2025-01-01,2025-12-31
padel-spain,PLN,1507.82,2025-01-01,2025-12-31
"Camp / katalka",PLN,1388.33,2025-01-01,2025-12-31
"Event / NY2026",PLN,1149.78,2025-01-01,2025-12-31
Normandy,PLN,1089.38,2025-01-01,2025-12-31
"Coliving / Portugal march",PLN,963.61,2025-01-01,2025-12-31
"Event / Halloween",PLN,915.63,2025-01-01,2025-12-31
"camp list",PLN,758.59,2025-01-01,2025-12-31
"poland lankova09",PLN,747.03,2025-01-01,2025-12-31
France,PLN,661.82,2025-01-01,2025-12-31
"Camp/ Warshaw weekend",PLN,625.63,2025-01-01,2025-12-31
germany,PLN,587.78,2025-01-01,2025-12-31
norway06,PLN,489.24,2025-01-01,2025-12-31
"Event / Berlin",PLN,432.89,2025-01-01,2025-12-31
"Camp / Singles camp november",PLN,362.16,2025-01-01,2025-12-31
neog-event,PLN,345.48,2025-01-01,2025-12-31
digitalquizBarcelona,PLN,211.49,2025-01-01,2025-12-31
picnic,PLN,143.54,2025-01-01,2025-12-31
spain-custle,PLN,112.86,2025-01-01,2025-12-31
bday,PLN,78.53,2025-01-01,2025-12-31
"Event / Morning rave",PLN,68.03,2025-01-01,2025-12-31
"poland lankova09",PLN,63.48,2025-01-01,2025-12-31
digitalquiz,PLN,52.34,2025-01-01,2025-12-31
morningrave,PLN,51.87,2025-01-01,2025-12-31
